"method","scenario","seed","n_draws","rmse_f1","cov95_f1","rmse_f2","cov95_f2","rmse_f3","cov95_f3","rmse_f_mean","cov95_f_mean","rmse_s","cor_s","post_mean_sigma2","bias_sigma2","cov95_sigma2","post_mean_tau2_s","bias_tau2_s","cov95_tau2_s","post_mean_rho","total_sec","fit_sec","post_sec"
"ours","A",1,2000,0.0910052931994124,1,0.0965795078070658,1,0.0967547080469099,1,0.0947798363511294,1,0.592076276616126,0.856887987709963,1.23088242521849,0.230882425218491,0,0.749802142030867,-0.250197857969133,1,0.0634810409964525,2072.84,2070.03,0.25
"mgcv","A",1,2000,0.0551260307177184,1,0.0779518829419202,0.663366336633663,0.0116463065116878,1,0.0482414067237755,0.887788778877888,0.665355399889498,0.815164989197394,1.429537823683,0.429537823683001,0,7.88740082917158,6.88740082917158,0,NA,1.43000000000029,1.26000000000022,0.170000000000073
"inla","A",1,2000,0.065587249510345,1,0.0736072977940295,1,0.0172379351318171,1,0.0521441608120639,1,0.612476179435904,0.841422398721894,1.30654605760169,0.306546057601689,0,0.737789187548375,-0.262210812451625,0,0.202816498107924,18.3799999999992,2.94000000000051,14.6399999999994
"ours","A",2,2000,0.0864609209130359,1,0.0883653114595038,1,0.0576920811594631,1,0.0775061045106676,1,0.546040685859798,0.871936860454359,0.964139250001573,-0.0358607499984269,1,1.32931812982654,0.329318129826542,1,0.0592824847444242,4242.43,4237.32,0.0400000000008731
"mgcv","A",2,2000,0.0905492778231999,1,0.0631145799053686,0.722772277227723,0.0460556638764996,1,0.066573173868356,0.907590759075908,0.571584772353846,0.858619954147511,1.22812716525022,0.228127165250218,0,20.3432318516769,19.3432318516769,0,NA,2.53999999999905,2.18000000000029,0.359999999998763
"inla","A",2,2000,0.0922681547317191,1,0.0629299229186273,1,0.0482103236030126,1,0.0678028004177863,1,0.557507582024659,0.865732006958445,1.03197504255132,0.0319750425513212,1,1.36852674961437,0.368526749614374,1,0.167854559964606,17.0900000000001,2.88999999999942,13.8099999999995
"ours","A",3,2000,0.16336390650099,0.930693069306931,0.0511069303819354,1,0.0647801934271308,1,0.0930836767700186,0.976897689768977,0.482198504891976,0.866394624950261,1.04772468980504,0.0477246898050376,1,0.860926214302561,-0.139073785697439,1,0.0637507852308058,4249.9,4245.49,0.0499999999992724
"mgcv","A",3,2000,0.124702432009934,0.910891089108911,0.0165337973656786,1,0.0879168293887229,0.643564356435644,0.0763843529214452,0.851485148514851,0.527300484557714,0.834525559418447,1.2126455361522,0.212645536152201,0,11.4050646778287,10.4050646778287,0,NA,3.01000000000022,2.78000000000065,0.229999999999563
"inla","A",3,2000,0.135685455180904,0.920792079207921,0.0212233947454699,1,0.0597748877527874,1,0.0722279125597205,0.973597359735974,0.513071173032943,0.8498103366091,1.16027179390869,0.160271793908692,1,0.798705796999097,-0.201294203000903,1,0.213309978839582,18.2700000000004,4.04999999999927,14.0500000000011
"ours","A",4,2000,0.0913342396497893,1,0.073636562500879,1,0.0990993134734921,1,0.0880233718747201,1,0.509955831266784,0.858985553031009,1.01952617588362,0.0195261758836243,1,1.04847851022052,0.0484785102205167,1,0.0548187956849573,4188.19,4183.96,0.0299999999988358
"mgcv","A",4,2000,0.0971064253085612,1,0.0622846479383524,0.732673267326733,0.0291185591151742,1,0.0628365441206959,0.910891089108911,0.576868960947422,0.829654757974388,1.33374236657002,0.333742366570015,0,12.0593042409203,11.0593042409203,0,NA,2.86000000000058,2.63000000000102,0.229999999999563
"inla","A",4,2000,0.0772627679016134,1,0.0493299338684796,1,0.0641400770984005,1,0.0635775929561645,1,0.518320085004893,0.855522028173113,1.20097411582441,0.200974115824406,0,0.948026058285571,-0.051973941714429,1,0.201076772892969,17.3099999999977,3.20999999999913,13.619999999999
"ours","A",5,2000,0.077839550920261,1,0.0745918592170612,1,0.108836864602837,1,0.0870894249133865,1,0.525521377368935,0.83865224219351,1.01971360863878,0.0197136086387844,1,0.952633499260909,-0.0473665007390908,1,0.0470579798838293,3942.46,3937.24,0.0299999999988358
"mgcv","A",5,2000,0.0660819441313943,1,0.0919331144210146,0.554455445544555,0.0719321292631928,1,0.0766490626052006,0.851485148514851,0.588469418946949,0.8042123076107,1.29228187425832,0.292281874258324,0,15.3501490736255,14.3501490736255,0,NA,3.5,3.29999999999927,0.200000000000728
"inla","A",5,2000,0.0867477820791016,1,0.0803551725074895,1,0.0601926173634661,1,0.0757651906500191,1,0.542231166786342,0.825071445345661,1.16934363916969,0.169343639169688,0,0.922951710752879,-0.0770482892471209,1,0.161398568959768,17.3499999999985,3.02999999999884,14.119999999999
"ours","A",6,2000,0.10133092698214,1,0.0860195433581932,1,0.0625335554360952,1,0.0832946752588094,1,0.486534480128035,0.91616793500238,0.999449682878201,-0.000550317121798649,1,1.56284638421601,0.562846384216007,0,0.0684283898673,4233.42,4228.19,0.0300000000024738
"mgcv","A",6,2000,0.0624515225043354,1,0.0893330217444988,0.574257425742574,0.0540457234169891,0.752475247524752,0.0686100892219411,0.775577557755776,0.517104086826591,0.902387992312011,1.22353470150272,0.22353470150272,0,24.9169610954768,23.9169610954768,0,NA,3.82999999999811,3.65999999999985,0.169999999998254
"inla","A",6,2000,0.0697381251126799,1,0.0894484404318049,0.940594059405941,0.0422660609958412,1,0.067150875513442,0.98019801980198,0.497455463429052,0.911162392360885,1.0924410505802,0.0924410505802031,1,1.57852314850187,0.578523148501871,0,0.216348180309402,17.3799999999974,3.37000000000262,13.7699999999968
"ours","A",7,2000,0.190431206089971,0.96039603960396,0.0857815228373593,1,0.145478187815563,0.97029702970297,0.140563638914298,0.976897689768977,0.521898684093863,0.852427258775654,1.12615464145004,0.126154641450043,1,0.88132759375943,-0.11867240624057,1,0.068314678768016,4223.17,4218.75,0.0300000000061118
"mgcv","A",7,2000,0.126504781083271,1,0.0579883202467038,0.732673267326733,0.13811275592131,0.861386138613861,0.107535285750428,0.864686468646865,0.573814777481103,0.818811226755313,1.2910894590994,0.291089459099398,0,12.0596645558604,11.0596645558604,0,NA,2.82999999999811,2.52000000000044,0.309999999997672
"inla","A",7,2000,0.14095255884349,0.96039603960396,0.044844401212159,1,0.130401552962548,0.881188118811881,0.105399504339399,0.947194719471947,0.534543584424363,0.844270276428101,1.18104781576642,0.181047815766423,0,0.938940876868217,-0.061059123131783,1,0.222048073568329,17.7700000000004,3.59999999999854,13.9200000000019
"ours","A",8,2000,0.122624576513779,1,0.162865243106706,0.96039603960396,0.110156919604445,1,0.13188224640831,0.986798679867987,0.59435852187321,0.82975374489674,1.06416212695245,0.0641621269524544,1,0.749604922641256,-0.250395077358744,1,0.0549199626018346,4030.84,4026,0.0200000000040745
"mgcv","A",8,2000,0.0986893078898771,1,0.136510419858094,0.801980198019802,0.0443940635397202,1,0.0931979304292305,0.933993399339934,0.626794890628023,0.801981161164993,1.21215245954874,0.212152459548737,0,14.2190385638906,13.2190385638906,0,NA,4,3.79000000000087,0.209999999999127
"inla","A",8,2000,0.0974845559545566,1,0.139259883903201,0.811881188118812,0.0446996678785192,1,0.0938147025787591,0.937293729372937,0.607644550581111,0.82519177673061,1.18119243234103,0.18119243234103,0,0.748435210266095,-0.251564789733905,1,0.19187887573356,16.6200000000026,2.65999999999622,13.7300000000032
"ours","A",9,2000,0.0966618586473735,1,0.116657107065819,0.910891089108911,0.196168321352383,0.693069306930693,0.136495762355192,0.867986798679868,0.541211752515068,0.884250982587682,0.921013781433001,-0.0789862185669992,1,1.03676430241862,0.0367643024186211,1,0.0799735640083978,2007.57,2004.13,0.0100000000020373
"mgcv","A",9,2000,0.0909884258801828,1,0.0927495356750709,1,0.187137527916081,0.683168316831683,0.123625163157112,0.894389438943894,0.649840419854448,0.864028750407706,1.07426217481377,0.0742621748137668,0,11.2874894073964,10.2874894073964,0,NA,1.36000000000058,1.19999999999709,0.160000000003492
"inla","A",9,2000,0.111116536241236,0.940594059405941,0.0786191324681895,1,0.175559936312238,0.772277227722772,0.121765201673888,0.904290429042904,0.555293589684963,0.876243048389091,0.984537444967791,-0.0154625550322085,1,1.06284962498748,0.0628496249874773,1,0.262293106129338,15.5800000000017,2.59999999999854,12.6100000000006
"ours","A",10,2000,0.10721671500323,1,0.14881515319442,0.96039603960396,0.0913413104194744,1,0.115791059539041,0.986798679867987,0.523613444631345,0.798683164847686,0.908751866948981,-0.0912481330510191,1,0.815646892105931,-0.184353107894069,1,0.0327937582239236,1867.39000000001,1863.54,0.0200000000040745
"mgcv","A",10,2000,0.115706315182988,1,0.112978638880906,0.445544554455446,0.0470992164122137,1,0.0919280568253691,0.815181518151815,0.58147281980029,0.752781718841638,1.32691919625945,0.326919196259446,0,9.49308696926856,8.49308696926856,0,NA,2,1.86000000000058,0.139999999999418
"inla","A",10,2000,0.120080735639877,0.95049504950495,0.107328870604883,0.97029702970297,0.0477531453264668,1,0.0917209171904087,0.973597359735974,0.54418007810538,0.784112070220015,1.18087805259163,0.180878052591633,0,0.681417895889121,-0.318582104110879,1,0.120291956648371,14.8700000000026,2.20999999999913,12.510000000002
